draw_id,play,tier,pattern,numbers,note,winners,value
01340,,Jackpot 1,OOOOOO,,,0,45356581650
01340,,Jackpot 2,OOOOO|O,,,0,4103041250
01340,,Giải Nhất,OOOOO,,,7,40000000
01340,,Giải Nhì,OOOO,,,615,500000
01340,,Giải Ba,OOO,,,14620,50000
01339,,Jackpot 1,OOOOOO,,,0,42838500900
01339,,Jackpot 2,OOOOO|O,,,0,3823254500
01339,,Giải Nhất,OOOOO,,,7,40000000
01339,,Giải Nhì,OOOO,,,608,500000
01339,,Giải Ba,OOO,,,14137,50000
01338,,Jackpot 1,OOOOOO,,,0,40419333300
01338,,Jackpot 2,OOOOO|O,,,0,3554458100
01338,,Giải Nhất,OOOOO,,,6,40000000
01338,,Giải Nhì,OOOO,,,549,500000
01338,,Giải Ba,OOO,,,12744,50000
01337,,Jackpot 1,OOOOOO,,,0,37612305750
01337,,Jackpot 2,OOOOO|O,,,0,3242566150
01337,,Giải Nhất,OOOOO,,,9,40000000
01337,,Giải Nhì,OOOO,,,628,500000
01337,,Giải Ba,OOO,,,14397,50000
01336,,Jackpot 1,OOOOOO,,,0,35429210400
01336,,Jackpot 2,OOOOO|O,,,1,4058059450
01336,,Giải Nhất,OOOOO,,,15,40000000
01336,,Giải Nhì,OOOO,,,669,500000
01336,,Giải Ba,OOO,,,14037,50000
01335,,Jackpot 1,OOOOOO,,,0,33557365650
01335,,Jackpot 2,OOOOO|O,,,0,3850076700
01335,,Giải Nhất,OOOOO,,,12,40000000
01335,,Giải Nhì,OOOO,,,618,500000
01335,,Giải Ba,OOO,,,12950,50000
01334,,Jackpot 1,OOOOOO,,,0,31171403100
01334,,Jackpot 2,OOOOO|O,,,0,3584969750
01334,,Giải Nhất,OOOOO,,,22,40000000
01334,,Giải Nhì,OOOO,,,880,500000
01334,,Giải Ba,OOO,,,16580,50000
01333,,Jackpot 1,OOOOOO,,,1,91889389200
01333,,Jackpot 2,OOOOO|O,,,0,3454813850
01333,,Giải Nhất,OOOOO,,,19,40000000
01333,,Giải Nhì,OOOO,,,979,500000
01333,,Giải Ba,OOO,,,22169,50000
01332,,Jackpot 1,OOOOOO,,,0,87796064550
01332,,Jackpot 2,OOOOO|O,,,2,2077583500
01332,,Giải Nhất,OOOOO,,,23,40000000
01332,,Giải Nhì,OOOO,,,1218,500000
01332,,Giải Ba,OOO,,,25845,50000
01331,,Jackpot 1,OOOOOO,,,0,81069972600
01331,,Jackpot 2,OOOOO|O,,,0,3407823450
01331,,Giải Nhất,OOOOO,,,5,40000000
01331,,Giải Nhì,OOOO,,,1004,500000
01331,,Giải Ba,OOO,,,19337,50000
01330,,Jackpot 1,OOOOOO,,,0,77399561550
01330,,Jackpot 2,OOOOO|O,,,1,4591280800
01330,,Giải Nhất,OOOOO,,,8,40000000
01330,,Giải Nhì,OOOO,,,825,500000
01330,,Giải Ba,OOO,,,17710,50000
